praf	pmek	plcg	PIP2	PIP3	p44.42	pakts473	PKA	PKC	P38	pjnk	expt
low	low	medium	medium	medium	medium	low	medium	medium	medium	medium	8_pma
low	low	high	low	low	medium	medium	medium	medium	medium	high	8_pma
low	low	medium	high	medium	high	high	high	medium	medium	high	8_pma
medium	medium	medium	low	low	medium	low	medium	low	low	high	8_pma
low	low	medium	low	low	medium	medium	medium	medium	medium	medium	8_pma
high	high	high	high	high	high	high	high	medium	low	high	8_pma
low	low	medium	medium	low	high	high	high	medium	medium	high	8_pma
low	medium	medium	low	low	high	high	medium	medium	medium	high	8_pma
low	low	medium	low	low	high	medium	medium	medium	medium	medium	8_pma
low	low	medium	medium	medium	medium	medium	medium	medium	medium	medium	8_pma
high	high	medium	low	low	medium	medium	high	medium	medium	medium	8_pma
low	low	high	medium	medium	low	medium	high	medium	medium	medium	8_pma
high	high	low	low	low	medium	medium	high	medium	low	medium	8_pma
low	low	medium	medium	low	high	high	medium	medium	high	high	8_pma
medium	high	medium	medium	low	medium	medium	medium	medium	medium	high	8_pma
low	medium	high	high	high	medium	medium	high	medium	low	medium	8_pma
low	medium	medium	medium	medium	high	high	medium	medium	low	medium	8_pma
low	medium	high	medium	low	high	high	high	high	high	high	8_pma
low	low	medium	low	low	high	medium	medium	high	high	high	8_pma
low	medium	low	high	medium	low	low	high	medium	medium	high	8_pma
low	low	medium	medium	medium	high	high	high	medium	low	medium	8_pma
low	medium	NA	low	low	high	medium	medium	medium	medium	high	8_pma
low	low	low	high	medium	medium	low	medium	high	high	medium	8_pma
low	low	medium	low	low	medium	medium	medium	medium	medium	medium	8_pma
low	low	medium	low	low	medium	low	medium	high	high	high	8_pma
low	medium	medium	medium	low	high	medium	medium	high	high	high	8_pma
low	low	high	high	medium	high	high	high	high	high	high	8_pma
low	low	medium	low	low	low	medium	high	medium	medium	medium	8_pma
high	high	low	low	low	high	high	high	high	high	high	8_pma
medium	high	medium	low	medium	high	high	high	low	medium	high	8_pma
medium	medium	high	high	high	medium	medium	high	high	high	high	8_pma
low	low	medium	high	high	high	medium	medium	medium	low	medium	8_pma
low	low	medium	medium	low	medium	low	high	medium	low	medium	8_pma
low	low	medium	low	medium	high	high	high	medium	medium	medium	8_pma
low	medium	high	high	high	high	medium	medium	medium	medium	high	8_pma
low	low	low	low	medium	medium	medium	medium	low	medium	medium	8_pma
low	low	high	high	medium	medium	medium	high	medium	medium	high	8_pma
low	low	low	low	medium	medium	medium	medium	medium	medium	high	8_pma
low	low	medium	low	medium	high	high	high	high	high	high	8_pma
high	high	high	high	high	medium	medium	medium	low	low	medium	8_pma
low	low	medium	medium	low	medium	medium	high	low	low	high	8_pma
low	low	medium	high	medium	high	high	high	high	high	medium	8_pma
low	low	medium	low	low	medium	high	high	medium	medium	high	8_pma
low	medium	high	high	high	high	high	high	high	high	high	8_pma
medium	high	high	medium	low	low	low	low	medium	high	high	8_pma
low	low	high	medium	medium	medium	medium	high	high	high	high	8_pma
medium	low	high	high	high	high	medium	medium	medium	medium	high	8_pma
low	low	medium	medium	low	low	medium	high	high	high	low	8_pma
low	low	medium	high	medium	medium	medium	high	medium	medium	medium	8_pma
medium	medium	medium	high	high	medium	medium	medium	medium	low	high	8_pma
low	low	high	high	high	low	low	medium	medium	medium	high	8_pma
low	medium	medium	medium	low	low	medium	medium	high	high	high	8_pma
low	medium	medium	medium	low	high	high	high	medium	medium	high	8_pma
low	medium	high	medium	medium	low	medium	high	high	high	high	8_pma
low	low	high	high	high	high	high	high	low	medium	medium	8_pma
low	low	high	high	high	high	high	high	low	low	medium	8_pma
low	low	low	low	medium	high	medium	high	low	medium	high	8_pma
low	low	medium	low	low	medium	medium	medium	high	high	high	8_pma
low	medium	medium	medium	medium	low	low	high	low	low	medium	8_pma
low	low	high	high	high	high	high	medium	low	low	high	8_pma
high	high	medium	low	low	medium	medium	medium	low	low	medium	8_pma
low	low	high	high	high	high	medium	medium	medium	low	high	8_pma
low	low	medium	low	low	high	medium	medium	low	high	low	8_pma
low	low	medium	medium	medium	medium	medium	high	low	medium	medium	8_pma
medium	medium	medium	medium	medium	medium	high	high	high	high	low	8_pma
low	low	medium	medium	low	high	high	high	high	high	high	8_pma
low	low	low	low	low	low	low	high	low	medium	medium	8_pma
high	high	medium	medium	medium	high	high	medium	medium	medium	medium	8_pma
medium	medium	high	low	low	medium	medium	high	medium	low	high	8_pma
high	high	medium	medium	low	high	high	high	low	low	low	8_pma
low	low	medium	low	low	medium	medium	medium	low	medium	high	8_pma
low	low	medium	low	low	high	high	high	medium	medium	high	8_pma
medium	low	high	medium	low	low	low	low	low	medium	medium	8_pma
low	low	medium	medium	low	low	low	high	high	medium	high	8_pma
low	low	medium	medium	low	high	high	high	high	high	high	8_pma
low	low	high	medium	medium	high	high	high	medium	medium	high	8_pma
low	medium	low	low	medium	medium	medium	high	medium	medium	medium	8_pma
low	medium	medium	medium	low	high	high	high	medium	low	high	8_pma
low	medium	high	medium	low	low	low	medium	medium	medium	high	8_pma
medium	medium	high	medium	high	high	medium	medium	low	medium	high	8_pma
low	low	medium	low	medium	high	high	medium	high	high	high	8_pma
low	medium	medium	medium	medium	medium	medium	high	low	low	medium	8_pma
medium	medium	low	low	low	high	high	high	medium	medium	high	8_pma
medium	high	medium	medium	low	medium	medium	high	medium	low	medium	8_pma
low	low	high	medium	medium	low	low	medium	low	low	medium	8_pma
low	low	medium	low	low	low	low	medium	high	high	high	8_pma
low	low	medium	medium	low	high	high	high	high	high	high	8_pma
low	low	low	high	high	low	low	medium	low	medium	high	8_pma
low	medium	medium	medium	low	medium	medium	medium	medium	low	high	8_pma
medium	medium	high	medium	low	high	medium	medium	high	high	high	8_pma
low	medium	medium	medium	medium	low	medium	high	medium	medium	medium	8_pma
low	low	high	medium	low	low	low	low	medium	medium	medium	8_pma
low	medium	medium	high	high	high	high	high	high	high	low	8_pma
low	low	high	medium	high	low	low	high	low	low	high	8_pma
low	medium	medium	medium	medium	high	high	medium	medium	medium	high	8_pma
low	medium	medium	medium	medium	high	medium	low	high	high	high	8_pma
low	low	low	low	low	high	high	high	high	high	high	8_pma
low	low	medium	low	low	high	high	medium	medium	low	high	8_pma
low	low	high	medium	low	low	medium	high	medium	high	medium	8_pma
low	low	low	NA	low	high	high	high	medium	medium	high	8_pma
high	high	high	medium	medium	high	medium	medium	medium	medium	medium	8_pma
low	medium	medium	high	high	high	high	low	medium	medium	high	8_pma
low	low	high	high	high	low	low	medium	low	low	medium	8_pma
high	high	high	high	high	high	high	low	high	high	high	8_pma
low	low	medium	high	medium	low	low	high	high	high	high	8_pma
medium	medium	low	low	low	high	high	medium	high	high	high	8_pma
low	medium	low	low	low	low	low	low	medium	medium	high	8_pma
low	low	medium	medium	medium	medium	medium	low	low	medium	high	8_pma
low	low	medium	medium	medium	medium	low	high	high	high	high	8_pma
low	medium	medium	low	low	medium	medium	high	medium	medium	high	8_pma
low	low	medium	medium	medium	high	high	high	high	high	medium	8_pma
low	low	medium	low	low	low	high	medium	high	high	high	8_pma
low	low	low	medium	low	medium	medium	medium	medium	medium	high	8_pma
low	high	medium	low	low	medium	medium	high	low	low	medium	8_pma
low	low	medium	low	NA	high	high	high	low	medium	medium	8_pma
low	medium	medium	medium	low	high	high	medium	medium	low	medium	8_pma
medium	high	medium	high	medium	high	medium	high	high	high	high	8_pma
low	low	high	high	high	high	medium	low	medium	medium	medium	8_pma
low	low	medium	low	low	high	high	medium	medium	medium	medium	8_pma
low	low	low	high	medium	low	medium	high	medium	medium	high	8_pma
medium	medium	low	low	low	high	high	high	medium	medium	high	8_pma
medium	high	medium	low	low	high	high	medium	medium	medium	high	8_pma
high	medium	medium	medium	low	high	high	medium	high	high	high	8_pma
high	medium	high	medium	low	high	high	high	low	low	medium	8_pma
medium	medium	medium	high	high	high	medium	medium	high	high	high	8_pma
low	low	low	low	low	high	medium	medium	low	low	medium	8_pma
medium	medium	medium	medium	low	medium	medium	high	medium	medium	medium	8_pma
low	low	medium	low	medium	high	medium	medium	high	high	high	8_pma
low	medium	medium	medium	low	medium	medium	high	medium	medium	high	8_pma
medium	medium	medium	low	low	high	high	high	low	medium	medium	8_pma
low	low	high	high	high	high	medium	high	medium	medium	high	8_pma
low	medium	high	medium	high	medium	low	high	low	low	medium	8_pma
low	low	high	high	high	medium	medium	medium	medium	medium	medium	8_pma
low	low	medium	medium	medium	high	high	medium	medium	low	medium	8_pma
low	low	medium	low	low	medium	medium	high	medium	medium	high	8_pma
high	high	medium	medium	medium	high	high	high	high	high	high	8_pma
low	low	medium	low	low	medium	medium	high	medium	low	high	8_pma
medium	medium	high	medium	high	low	medium	high	low	medium	high	8_pma
low	low	low	high	medium	medium	medium	low	medium	medium	high	8_pma
low	low	medium	medium	low	medium	medium	high	medium	medium	medium	8_pma
medium	high	high	medium	low	high	high	medium	low	medium	high	8_pma
low	low	medium	medium	low	high	medium	medium	medium	medium	medium	8_pma
low	medium	medium	low	low	high	high	high	medium	medium	medium	8_pma
medium	medium	medium	low	low	high	medium	low	low	low	medium	8_pma
low	low	medium	medium	low	medium	low	medium	low	low	high	8_pma
low	low	medium	low	low	high	high	high	medium	low	high	8_pma
high	medium	medium	medium	low	medium	low	medium	medium	medium	high	8_pma
low	medium	medium	high	medium	medium	medium	medium	high	high	high	8_pma
low	low	high	medium	low	high	high	high	medium	medium	high	8_pma
low	low	medium	low	low	high	high	high	medium	medium	high	8_pma
medium	low	high	medium	medium	high	high	high	medium	medium	high	8_pma
low	low	medium	low	low	medium	medium	low	medium	medium	medium	8_pma
low	low	high	high	high	medium	medium	high	high	high	high	8_pma
medium	medium	medium	medium	low	medium	medium	high	medium	low	medium	8_pma
low	low	high	high	high	high	medium	high	medium	medium	high	8_pma
low	medium	low	low	low	high	medium	medium	medium	medium	high	8_pma
low	low	medium	medium	low	high	high	medium	medium	medium	high	8_pma
low	low	low	low	low	high	high	medium	medium	medium	high	8_pma
low	low	medium	medium	low	high	high	high	high	high	high	8_pma
low	low	medium	low	low	medium	medium	medium	low	low	medium	8_pma
high	medium	medium	low	low	high	high	high	low	low	medium	8_pma
low	low	medium	medium	medium	high	high	medium	high	high	medium	8_pma
low	low	medium	high	medium	high	high	high	medium	low	medium	8_pma
low	low	medium	low	high	high	high	low	high	medium	high	8_pma
low	high	medium	low	medium	high	high	high	medium	medium	medium	8_pma
low	high	high	high	high	low	low	low	medium	medium	medium	8_pma
low	low	high	medium	low	low	medium	medium	low	low	medium	8_pma
low	low	medium	high	medium	medium	low	medium	high	high	high	8_pma
medium	medium	low	low	low	high	high	medium	low	high	low	8_pma
low	medium	high	high	high	high	high	medium	medium	medium	high	8_pma
low	medium	medium	medium	low	high	medium	high	medium	medium	high	8_pma
low	low	low	high	high	high	high	high	medium	medium	high	8_pma
low	low	high	medium	medium	low	medium	high	medium	medium	medium	8_pma
low	medium	medium	medium	low	high	high	high	medium	low	medium	8_pma
low	low	medium	low	low	high	high	high	medium	medium	medium	8_pma
low	low	medium	low	medium	high	high	medium	medium	medium	medium	8_pma
low	medium	medium	medium	low	medium	medium	medium	medium	medium	high	8_pma
low	medium	medium	high	medium	high	medium	low	medium	medium	medium	8_pma
high	high	low	high	high	medium	low	low	medium	medium	medium	8_pma
low	medium	medium	medium	medium	medium	medium	medium	low	low	medium	8_pma
low	medium	medium	low	low	high	high	high	medium	low	medium	8_pma
low	low	medium	medium	low	low	medium	medium	medium	low	medium	8_pma
low	low	medium	low	low	low	low	high	medium	medium	high	8_pma
low	low	high	high	high	low	low	medium	low	low	high	8_pma
low	medium	high	high	high	medium	low	medium	low	medium	medium	8_pma
medium	high	low	medium	low	high	medium	medium	high	high	high	8_pma
low	low	low	medium	low	high	medium	medium	medium	medium	high	8_pma
high	high	medium	medium	low	low	medium	medium	high	high	high	8_pma
low	low	low	medium	medium	high	medium	low	medium	medium	medium	8_pma
low	low	low	medium	low	medium	high	high	medium	medium	high	8_pma
low	low	medium	low	low	high	medium	high	low	low	medium	8_pma
low	low	high	high	high	high	high	high	low	high	medium	8_pma
medium	medium	high	high	high	low	low	medium	low	medium	medium	8_pma
low	low	medium	medium	medium	low	low	medium	low	medium	high	8_pma
medium	medium	medium	medium	low	medium	medium	medium	medium	medium	medium	8_pma
low	low	high	high	high	medium	medium	medium	high	high	high	8_pma
low	low	medium	low	low	medium	medium	high	medium	medium	high	8_pma
low	high	high	high	high	high	medium	high	medium	medium	high	8_pma
low	low	low	low	low	high	medium	low	medium	low	medium	8_pma
high	high	medium	medium	medium	medium	medium	high	medium	high	high	8_pma
low	low	high	medium	medium	high	high	high	medium	medium	high	8_pma
low	low	low	low	low	high	medium	medium	medium	low	medium	8_pma
low	low	high	high	high	high	medium	medium	high	high	high	8_pma
low	medium	medium	medium	low	high	high	high	medium	medium	medium	8_pma
low	medium	high	high	medium	high	high	high	medium	medium	high	8_pma
low	medium	medium	low	low	low	medium	medium	medium	medium	high	8_pma
low	low	high	medium	medium	high	high	high	high	high	high	8_pma
low	low	NA	low	low	low	low	medium	medium	medium	high	8_pma
low	low	high	medium	low	low	medium	high	low	low	high	8_pma
low	low	low	medium	medium	high	high	high	medium	medium	high	8_pma
medium	medium	medium	low	NA	medium	high	high	medium	medium	high	8_pma
low	low	medium	medium	low	medium	low	high	high	medium	high	8_pma
low	low	low	low	low	low	medium	medium	medium	low	medium	8_pma
low	medium	medium	medium	medium	low	medium	high	medium	medium	high	8_pma
low	medium	high	high	medium	low	medium	medium	medium	medium	medium	8_pma
low	low	medium	medium	medium	high	medium	medium	low	low	high	8_pma
medium	high	medium	high	high	low	low	medium	medium	medium	high	8_pma
high	high	high	high	high	medium	medium	high	high	medium	high	8_pma
high	high	low	low	low	high	high	high	low	medium	high	8_pma
low	medium	medium	medium	medium	medium	low	medium	medium	low	medium	8_pma
low	medium	low	low	medium	high	high	high	low	low	medium	8_pma
low	low	medium	medium	low	medium	medium	high	high	high	high	8_pma
low	medium	medium	high	high	high	medium	medium	low	high	high	8_pma
low	medium	medium	medium	low	medium	medium	medium	medium	medium	medium	8_pma
low	low	high	medium	high	high	high	high	medium	medium	high	8_pma
low	medium	medium	low	low	high	medium	medium	low	low	medium	8_pma
low	high	high	medium	high	high	medium	medium	low	medium	high	8_pma
low	medium	high	medium	low	high	high	low	medium	medium	high	8_pma
low	low	high	medium	low	high	high	medium	medium	medium	high	8_pma
low	low	medium	low	low	high	high	high	medium	medium	high	8_pma
low	low	high	medium	low	high	medium	medium	low	low	high	8_pma
high	high	medium	medium	low	medium	medium	medium	high	high	high	8_pma
low	low	medium	high	high	high	high	high	low	medium	high	8_pma
low	low	high	high	high	high	high	medium	medium	low	medium	8_pma
low	low	medium	high	high	high	medium	medium	medium	medium	medium	8_pma
low	low	high	medium	medium	high	high	high	medium	medium	medium	8_pma
low	medium	medium	medium	low	low	low	medium	medium	low	medium	8_pma
high	medium	high	high	high	high	high	medium	medium	medium	high	8_pma
low	low	high	medium	high	high	high	high	low	low	high	8_pma
medium	medium	medium	high	low	high	medium	low	low	medium	high	8_pma
low	medium	medium	low	low	medium	medium	medium	low	low	medium	8_pma
low	low	medium	medium	medium	medium	low	high	medium	medium	medium	8_pma
low	low	low	medium	medium	low	low	medium	medium	medium	high	8_pma
low	low	medium	high	high	high	high	high	medium	low	high	8_pma
low	low	low	low	low	high	high	high	medium	low	medium	8_pma
low	medium	low	high	high	high	high	high	medium	low	high	8_pma
low	low	high	high	high	medium	medium	medium	medium	medium	high	8_pma
medium	high	high	medium	low	high	high	high	medium	medium	high	8_pma
low	low	low	low	high	high	high	medium	low	medium	high	8_pma
medium	medium	medium	low	medium	low	low	medium	high	medium	high	8_pma
low	medium	medium	high	low	medium	medium	medium	high	medium	high	8_pma
medium	high	medium	low	low	high	medium	low	high	high	high	8_pma
low	NA	low	low	low	high	high	medium	medium	medium	high	8_pma
low	low	high	low	low	high	high	high	medium	low	medium	8_pma
low	low	low	high	low	medium	medium	medium	medium	high	high	8_pma
low	low	low	high	medium	medium	low	medium	high	high	high	8_pma
medium	medium	high	medium	medium	high	high	high	medium	low	medium	8_pma
low	low	medium	medium	high	high	medium	medium	medium	medium	high	8_pma
high	high	medium	medium	low	high	high	high	medium	low	high	8_pma
low	low	low	low	low	high	high	medium	low	low	medium	8_pma
low	low	medium	medium	medium	high	high	high	medium	high	high	8_pma
low	medium	medium	medium	low	high	high	high	medium	medium	high	8_pma
low	low	high	low	low	low	low	high	medium	medium	high	8_pma
low	low	medium	medium	medium	medium	medium	medium	medium	low	medium	8_pma
medium	high	low	low	low	high	high	medium	medium	medium	medium	8_pma
low	low	high	medium	medium	high	high	medium	medium	low	high	8_pma
high	high	medium	medium	low	high	medium	medium	medium	low	medium	8_pma
low	low	medium	low	low	low	medium	high	medium	medium	high	8_pma
low	low	high	high	high	high	high	medium	high	high	high	8_pma
low	low	high	high	high	high	medium	medium	medium	medium	high	8_pma
medium	high	medium	medium	low	medium	medium	medium	high	medium	high	8_pma
low	medium	high	high	high	high	high	high	medium	medium	high	8_pma
low	medium	high	medium	medium	high	medium	medium	medium	medium	high	8_pma
medium	high	high	high	high	medium	low	medium	low	low	medium	8_pma
medium	low	high	medium	medium	low	high	high	low	medium	high	8_pma
low	low	medium	low	low	high	medium	low	medium	low	high	8_pma
low	low	medium	medium	medium	high	high	high	medium	medium	medium	8_pma
low	medium	high	medium	medium	high	high	high	medium	medium	high	8_pma
low	low	high	high	high	high	medium	high	high	high	high	8_pma
low	low	high	medium	low	medium	high	high	medium	low	high	8_pma
low	medium	medium	medium	low	high	high	medium	low	medium	high	8_pma
low	low	medium	low	medium	high	medium	medium	low	high	low	8_pma
low	low	medium	medium	medium	high	medium	medium	low	medium	medium	8_pma
low	low	high	medium	low	high	medium	medium	medium	medium	medium	8_pma
low	medium	high	high	high	high	high	high	medium	low	medium	8_pma
medium	high	high	high	high	medium	medium	medium	high	medium	high	8_pma
medium	high	medium	low	low	medium	high	high	medium	medium	high	8_pma
low	low	medium	high	medium	medium	medium	medium	high	high	high	8_pma
low	low	medium	high	medium	high	medium	medium	low	medium	medium	8_pma
low	low	medium	high	medium	high	high	high	medium	medium	high	8_pma
low	low	medium	low	medium	high	high	high	low	medium	high	8_pma
low	low	high	high	high	high	high	high	high	high	high	8_pma
low	medium	medium	medium	low	high	high	high	medium	low	high	8_pma
low	medium	medium	low	medium	low	low	medium	medium	medium	high	8_pma
low	low	low	low	low	medium	low	medium	medium	medium	high	8_pma
low	low	low	low	low	medium	medium	medium	low	low	medium	8_pma
low	low	medium	high	high	high	high	high	medium	medium	high	8_pma
low	medium	medium	medium	low	high	high	medium	medium	low	high	8_pma
low	low	high	medium	low	medium	medium	medium	medium	medium	high	8_pma
low	low	low	low	low	high	high	high	medium	low	medium	8_pma
low	medium	high	medium	medium	medium	medium	medium	medium	medium	high	8_pma
low	low	medium	medium	low	low	medium	high	high	high	high	8_pma
low	low	high	medium	low	medium	medium	high	medium	low	high	8_pma
low	high	low	high	medium	high	high	low	low	low	medium	8_pma
medium	low	high	high	high	medium	medium	high	medium	medium	medium	8_pma
low	low	low	low	low	low	low	medium	high	high	high	8_pma
medium	medium	low	medium	low	medium	medium	low	medium	low	high	8_pma
low	low	medium	low	low	medium	medium	medium	medium	low	medium	8_pma
low	low	low	low	low	medium	medium	high	high	high	high	8_pma
low	medium	high	high	high	low	low	low	low	low	medium	8_pma
low	medium	low	medium	medium	medium	medium	high	low	low	high	8_pma
low	low	medium	high	high	high	high	medium	medium	low	high	8_pma
low	low	medium	medium	medium	high	high	high	medium	low	medium	8_pma
low	low	medium	medium	low	high	high	high	medium	medium	high	8_pma
low	low	medium	low	low	medium	medium	high	medium	medium	high	8_pma
low	low	medium	low	low	high	medium	medium	high	high	medium	8_pma
medium	high	high	medium	medium	high	high	medium	medium	medium	medium	8_pma
low	medium	medium	low	low	low	low	medium	medium	medium	high	8_pma
low	low	low	high	medium	high	medium	medium	low	low	medium	8_pma
low	low	high	high	high	high	medium	medium	medium	medium	high	8_pma
low	low	medium	low	medium	high	medium	medium	low	medium	high	8_pma
medium	high	low	low	medium	high	high	medium	medium	low	medium	8_pma
low	low	medium	medium	low	high	high	high	low	medium	high	8_pma
low	low	medium	medium	low	high	medium	low	medium	low	medium	8_pma
low	low	high	medium	low	medium	low	low	medium	medium	medium	8_pma
low	low	low	low	low	high	high	high	medium	low	high	8_pma
low	low	medium	low	low	high	high	medium	medium	medium	medium	8_pma
low	medium	high	medium	high	low	low	high	medium	high	medium	8_pma
medium	high	medium	medium	low	high	high	medium	medium	low	high	8_pma
low	medium	medium	medium	low	high	high	high	low	low	medium	8_pma
low	low	high	medium	low	low	low	medium	high	high	high	8_pma
low	medium	medium	high	high	high	high	high	medium	medium	high	8_pma
medium	high	medium	medium	low	low	low	medium	high	high	high	8_pma
low	medium	high	high	high	high	high	high	medium	low	high	8_pma
NA	low	low	high	medium	low	medium	medium	low	high	low	8_pma
low	low	medium	medium	low	high	high	high	low	medium	medium	8_pma
low	low	high	high	high	high	high	high	medium	medium	medium	8_pma
low	low	medium	medium	medium	high	high	high	high	medium	high	8_pma
low	low	low	low	low	high	medium	low	medium	medium	high	8_pma
low	medium	medium	low	low	high	high	medium	medium	low	medium	8_pma
low	low	low	medium	low	medium	medium	high	high	high	high	8_pma
low	low	medium	medium	low	medium	medium	medium	medium	medium	high	8_pma
high	high	high	medium	medium	low	low	low	low	low	low	8_pma
medium	medium	medium	high	low	low	low	medium	medium	medium	high	8_pma
medium	low	high	medium	low	medium	medium	medium	medium	medium	high	8_pma
low	low	medium	medium	medium	low	medium	medium	medium	medium	high	8_pma
medium	high	medium	low	low	medium	medium	medium	medium	low	medium	8_pma
low	low	high	low	low	high	high	high	medium	medium	medium	8_pma
low	low	high	high	medium	high	medium	medium	medium	low	medium	8_pma
low	low	medium	medium	low	high	high	medium	low	low	high	8_pma
low	low	medium	medium	low	high	high	high	medium	medium	medium	8_pma
low	low	medium	low	low	medium	medium	high	medium	medium	high	8_pma
low	low	medium	low	low	medium	medium	medium	medium	medium	high	8_pma
low	low	high	medium	low	medium	medium	medium	high	high	high	8_pma
low	low	high	medium	high	high	high	high	medium	low	medium	8_pma
low	low	high	medium	medium	low	low	high	medium	low	medium	8_pma
low	low	medium	high	medium	high	high	high	medium	high	high	8_pma
high	high	high	medium	medium	high	high	high	medium	medium	high	8_pma
low	low	medium	high	medium	medium	medium	medium	high	high	high	8_pma
low	low	medium	medium	low	high	high	medium	low	low	high	8_pma
low	medium	medium	medium	low	medium	medium	high	medium	low	high	8_pma
low	medium	low	high	high	high	high	high	low	high	low	8_pma
low	low	high	high	high	high	high	high	medium	medium	medium	8_pma
medium	medium	low	high	low	high	high	high	medium	medium	medium	8_pma
low	low	medium	medium	low	high	high	high	low	low	low	8_pma
low	low	high	medium	low	medium	low	medium	medium	low	high	8_pma
low	low	low	high	medium	high	high	low	medium	medium	high	8_pma
low	medium	medium	low	low	low	low	low	medium	medium	high	8_pma
low	low	medium	medium	low	medium	medium	low	medium	medium	high	8_pma
low	medium	high	high	high	medium	medium	medium	high	high	high	8_pma
low	low	high	high	high	high	medium	medium	medium	low	medium	8_pma
medium	medium	medium	high	medium	medium	medium	medium	medium	medium	medium	8_pma
low	low	medium	low	low	medium	medium	medium	medium	medium	high	8_pma
low	medium	low	high	medium	medium	medium	low	medium	medium	high	8_pma
low	low	medium	medium	low	medium	low	medium	low	medium	medium	8_pma
medium	medium	medium	medium	low	high	medium	medium	low	medium	high	8_pma
low	low	medium	medium	medium	low	low	medium	medium	medium	low	8_pma
medium	high	medium	medium	low	high	high	medium	medium	medium	high	8_pma
low	low	low	medium	low	low	high	high	high	high	high	8_pma
high	high	medium	medium	low	medium	medium	medium	low	low	medium	8_pma
low	high	low	high	high	high	medium	medium	high	high	high	8_pma
high	high	medium	medium	low	high	medium	medium	medium	medium	high	8_pma
high	high	high	high	high	high	medium	medium	medium	low	high	8_pma
medium	high	high	low	low	high	high	high	NA	low	high	8_pma
low	low	high	high	high	medium	medium	high	medium	medium	high	8_pma
low	low	low	high	medium	medium	medium	medium	medium	medium	high	8_pma
low	medium	medium	high	medium	low	medium	medium	medium	medium	high	8_pma
medium	high	medium	low	low	high	low	medium	medium	medium	high	8_pma
low	low	medium	medium	low	high	medium	medium	medium	low	medium	8_pma
low	medium	high	high	medium	high	high	medium	high	high	high	8_pma
low	medium	medium	medium	low	medium	medium	low	medium	medium	high	8_pma
low	medium	low	low	low	medium	medium	medium	low	low	NA	8_pma
low	low	low	low	low	high	medium	medium	low	low	medium	8_pma
low	low	medium	medium	medium	medium	low	medium	medium	low	high	8_pma
low	low	high	high	high	medium	medium	medium	medium	high	medium	8_pma
low	low	medium	low	low	medium	medium	high	medium	medium	high	8_pma
medium	high	medium	medium	medium	medium	medium	low	medium	low	high	8_pma
low	medium	medium	low	low	low	medium	medium	high	high	high	8_pma
low	low	medium	medium	low	high	high	high	medium	medium	medium	8_pma
low	medium	medium	low	low	high	high	medium	medium	medium	medium	8_pma
low	low	low	medium	low	high	high	high	medium	low	high	8_pma
medium	low	high	medium	high	high	high	high	medium	low	medium	8_pma
low	medium	medium	low	low	medium	medium	medium	high	medium	high	8_pma
low	low	medium	medium	low	high	high	medium	medium	medium	high	8_pma
low	low	medium	low	low	high	high	high	high	high	medium	8_pma
low	low	medium	medium	medium	high	high	high	high	high	high	8_pma
low	medium	medium	low	low	high	medium	high	medium	medium	high	8_pma
low	low	medium	medium	low	high	high	high	medium	low	high	8_pma
medium	high	medium	low	low	high	medium	medium	medium	low	high	8_pma
low	low	medium	medium	low	high	medium	high	medium	low	high	8_pma
low	NA	medium	high	high	medium	low	low	low	high	low	9_b2camp
low	low	medium	medium	high	high	high	low	low	high	low	9_b2camp
low	low	low	high	medium	low	low	high	medium	medium	low	9_b2camp
low	low	high	high	high	low	low	high	medium	low	low	9_b2camp
low	NA	medium	medium	medium	low	low	medium	medium	high	low	9_b2camp
low	NA	high	high	high	medium	low	low	low	high	low	9_b2camp
low	low	medium	high	high	high	medium	medium	NA	low	low	9_b2camp
medium	low	medium	low	medium	medium	low	low	NA	high	low	9_b2camp
medium	low	high	medium	medium	high	high	high	NA	NA	NA	9_b2camp
low	NA	low	low	medium	high	medium	low	NA	high	low	9_b2camp
low	NA	high	high	high	medium	low	low	NA	high	low	9_b2camp
high	NA	high	medium	medium	medium	low	low	NA	low	NA	9_b2camp
low	low	high	high	high	high	medium	high	low	NA	low	9_b2camp
low	low	medium	medium	low	medium	low	low	NA	low	low	9_b2camp
low	low	high	medium	low	low	low	low	NA	medium	low	9_b2camp
low	low	medium	high	high	high	high	high	NA	high	low	9_b2camp
low	low	high	low	high	high	high	high	NA	high	low	9_b2camp
low	low	medium	high	high	NA	low	low	low	NA	low	9_b2camp
high	low	high	high	high	medium	low	medium	NA	low	low	9_b2camp
medium	low	medium	low	medium	low	low	low	NA	low	low	9_b2camp
medium	low	NA	low	low	low	low	low	NA	low	low	9_b2camp
low	low	medium	medium	medium	medium	low	low	NA	NA	low	9_b2camp
NA	NA	high	high	high	low	low	medium	NA	low	low	9_b2camp
low	NA	medium	high	high	medium	medium	medium	low	NA	low	9_b2camp
low	low	medium	high	high	medium	low	low	NA	low	low	9_b2camp
low	low	medium	medium	medium	low	low	low	low	medium	low	9_b2camp
low	NA	low	low	medium	high	high	high	NA	medium	low	9_b2camp
medium	low	high	high	high	low	low	medium	low	medium	low	9_b2camp
low	low	low	medium	medium	low	low	low	NA	low	NA	9_b2camp
low	low	high	medium	medium	medium	low	medium	NA	high	low	9_b2camp
low	low	high	high	high	low	low	medium	NA	NA	low	9_b2camp
medium	low	low	medium	low	high	high	high	NA	low	NA	9_b2camp
medium	NA	low	low	NA	medium	low	medium	NA	low	low	9_b2camp
