alkylated DNA	REACTION1
protein	REACTION3974
REACTION3974	ADP
REACTION3974	phosphoprotein
[protein] (L-serine/L-threonine) phosphate	REACTION3975
REACTION3975	[protein]-(L-serine/L-threonine)
REACTION3975	phosphate
RH	REACTION3976
reduced [NADPH-hemoprotein reductase]	REACTION3976
REACTION3976	ROH
REACTION3976	oxidized [NADPH-hemoprotein reductase]
fructose 1,6-bisphosphate	REACTION3977
REACTION3977	beta-D-fructofuranose 6-phosphate
REACTION3977	phosphate
4-hydroxy-2-oxoglutarate	REACTION3978
REACTION3978	glyoxylate
REACTION3978	pyruvate
NADH[mitochondrial lumen]	REACTION3979
ubiquinone[mitochondrial inner membrane]	REACTION3979
REACTION3979	NAD+[mitochondrial lumen]
REACTION3979	ubiquinol[mitochondrial inner membrane]
ATP	REACTION3980
[protein]-L-serine	REACTION3980
REACTION3980	ADP
REACTION3980	protein L-serine phosphate
NADH	REACTION3981
unknown oxidized electron acceptor	REACTION3981
REACTION3981	NAD+
REACTION3981	unknown reduced electron acceptor
(S)-malate	REACTION3982
NAD+	REACTION3982
REACTION3982	pyruvate
REACTION3982	NADH
UTP	REACTION3983
REACTION3983	UMP
REACTION3983	phosphate
ATP	REACTION3984
beta-nicotinate D-ribonucleotide	REACTION3984
REACTION3984	nicotinate adenine dinucleotide
REACTION3984	diphosphate
carboxylate	REACTION3985
ATP	REACTION3985
coenzyme A	REACTION3985
REACTION3985	acyl-CoA
REACTION3985	AMP
REACTION3985	diphosphate
[protein]-(L-serine/L-threonine)	REACTION3986
ATP	REACTION3986
REACTION3986	[protein] (L-serine/L-threonine) phosphate
REACTION3986	ADP
[thyroglobulin]-triiodothyronine	REACTION3987
REACTION3987	3,5,3'-triiodo-L-thyronine
REACTION3987	[unspecified degradation products]
choloyl-CoA	REACTION3988
taurine	REACTION3988
REACTION3988	taurocholate
REACTION3988	coenzyme A
[protein]-L-tyrosine phosphate	REACTION3989
REACTION3989	[protein]-L-tyrosine
REACTION3989	phosphate
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	REACTION3990
ATP	REACTION3990
REACTION3990	3,5-bisdiphosphoinositol-1D-myo-inositol 2,3,4,6-tetrakisphosphate
REACTION3990	ADP
L-carnitine	REACTION3991
acetyl-CoA	REACTION3991
REACTION3991	O-acetylcarnitine
REACTION3991	coenzyme A
cis-aconitate	REACTION3992
REACTION3992	itaconate
glycerophosphodiester	REACTION3993
REACTION3993	alcohol
REACTION3993	sn-glycerol 3-phosphate
[heparan]-alpha-D-glucosamine	REACTION3994
3'-phosphoadenylyl-sulfate	REACTION3994
REACTION3994	[heparan sulfate]-alpha-D-glucosamine 3-sulfate
REACTION3994	adenosine 3',5'-bisphosphate
D-sorbitol	REACTION3995
NAD+	REACTION3995
REACTION3995	keto-D-fructose
REACTION3995	NADH
4,5alpha-dihydrocortisone	REACTION3996
NADP+	REACTION3996
REACTION3996	cortisone
REACTION3996	NADPH
S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION3997
[HECT-type E3 ubiquitin transferase]-L-cysteine	REACTION3997
REACTION3997	[E2 ubiquitin-conjugating enzyme]-L-cysteine
REACTION3997	S-ubiquitinyl-[HECT-type E3 ubiquitin transferase]-L-cysteine
acetyl-CoA[mitochondrial lumen]	REACTION3998
[pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine[mitochondrial lumen]	REACTION3998
REACTION3998	[pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine[mitochondrial lumen]
REACTION3998	coenzyme A[mitochondrial lumen]
CDP	REACTION3999
ATP	REACTION3999
REACTION3999	CTP
REACTION3999	ADP
geranylgeranyl diphosphate	REACTION4000
REACTION4000	prephytoene diphosphate
REACTION4000	diphosphate
L-aspartate	REACTION4001
IMP	REACTION4001
GTP	REACTION4001
REACTION4001	adenylo-succinate
REACTION4001	GDP
REACTION4001	phosphate
3,5,3'-triiodo-L-thyronine	REACTION4002
UDP-alpha-D-glucuronate	REACTION4002
REACTION4002	3,5,3'-triiodo-L-thyronine phenolic beta-D-glucuronide
REACTION4002	UDP
long-chain (3S)-3-hydroxyacyl-CoA	REACTION4003
NAD+	REACTION4003
REACTION4003	long-chain 3-oxoacyl-CoA
REACTION4003	NADH
dipetide with L-histidine at the C-terminal	REACTION4004
REACTION4004	standard alpha amino acid
REACTION4004	L-histidine
DNA containing an apurinic/apyrimidinic site	REACTION4005
REACTION4005	5'-phosphopolynucleotide
REACTION4005	3'-terminal unsaturated sugar
long-chain acyl-CoA	REACTION4006
1-acyl-sn-glycerol 3-phosphate	REACTION4006
REACTION4006	1,2-diacyl-sn-glycerol 3-phosphate
REACTION4006	coenzyme A
5,10-methylene-tetrahydrofolate	REACTION4007
NADP+	REACTION4007
REACTION4007	5,10-methenyltetrahydrofolate
REACTION4007	NADPH
protein	REACTION4008
REACTION4008	peptide
REACTION4008	peptide
4-trimethylammoniobutanal	REACTION4009
NAD+	REACTION4009
REACTION4009	gamma-butyrobetaine
REACTION4009	NADH
ATP	REACTION4010
protein	REACTION4010
REACTION4010	ADP
REACTION4010	phosphoprotein
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION4011
[N-terminal E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION4011
REACTION4011	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION4011	S-ubiquitinyl-[an N-terminal E2 ubiquitin-conjugating enzyme]-L-cysteine
ATP	REACTION4012
[protein]-L-tyrosine	REACTION4012
REACTION4012	ADP
REACTION4012	[protein]-L-tyrosine phosphate
hyaluronan	REACTION4013
REACTION4013	hyaluronate
tRNA precursor with a 5' extension and a short 3' extension	REACTION4014
REACTION4014	tRNA precursor with a short 3' extension
REACTION4014	single-stranded RNA
nucleoside cyclic 3',5'-monophosphate	REACTION4015
REACTION4015	nucleoside 5'-monophosphate
serotonin	REACTION4016
REACTION4016	5-hydroxyindole acetaldehyde
REACTION4016	ammonium
ATP	REACTION4017
[protein]-L-tyrosine	REACTION4017
REACTION4017	ADP
REACTION4017	[protein]-L-tyrosine phosphate
[histone]-L-lysine	REACTION4018
S-adenosyl-L-methionine	REACTION4018
REACTION4018	[histone] N6-methyl-L-lysine
REACTION4018	S-adenosyl-L-homocysteine
[histone]-L-lysine	REACTION4019
S-adenosyl-L-methionine	REACTION4019
REACTION4019	[histone] N6-methyl-L-lysine
REACTION4019	S-adenosyl-L-homocysteine
prostaglandin F2alpha	REACTION4020
NADP+	REACTION4020
REACTION4020	prostaglandin D2
REACTION4020	NADPH
2-oxoglutarate	REACTION4021
L-cysteine	REACTION4021
REACTION4021	L-glutamate
REACTION4021	3-mercaptopyruvate
deoxyribonucleoside triphosphate	REACTION4022
(deoxynucleotides)(n)	REACTION4022
REACTION4022	(deoxynucleotides)(n+1)
REACTION4022	diphosphate
ATP	REACTION4023
[protein]-L-tyrosine	REACTION4023
REACTION4023	ADP
REACTION4023	[protein]-L-tyrosine phosphate
[protein]-(L-serine/L-threonine)	REACTION4024
ATP	REACTION4024
REACTION4024	[protein] (L-serine/L-threonine) phosphate
REACTION4024	ADP
(2S)-2-methylacyl-CoA	REACTION4025
REACTION4025	(2R)-2-methylacyl-CoA
N6,N6-dimethyl-L-arginine	REACTION4026
REACTION4026	dimethylamine
REACTION4026	L-citrulline
ATP	REACTION4027
[protein]-L-tyrosine	REACTION4027
REACTION4027	ADP
REACTION4027	[protein]-L-tyrosine phosphate
uridine32 in tRNA	REACTION4028
REACTION4028	pseudouridine32 in tRNA
acetate	REACTION4029
ATP	REACTION4029
coenzyme A	REACTION4029
REACTION4029	acetyl-CoA
REACTION4029	AMP
REACTION4029	diphosphate
L-1-phosphatidyl-inositol	REACTION4030
ATP	REACTION4030
REACTION4030	1-phosphatidyl-1D-myo-inositol 3-phosphate
REACTION4030	ADP
ATP	REACTION4031
[protein]-L-tyrosine	REACTION4031
REACTION4031	ADP
REACTION4031	[protein]-L-tyrosine phosphate
tRNAphe	REACTION4032
L-phenylalanine	REACTION4032
ATP	REACTION4032
REACTION4032	L-phenylalanyl-[tRNAphe]
REACTION4032	AMP
REACTION4032	diphosphate
ferrocytochrome b5	REACTION4033
stearoyl-CoA	REACTION4033
REACTION4033	ferricytochrome b5
REACTION4033	oleoyl-CoA
[protein] (L-serine/L-threonine) phosphate	REACTION4034
REACTION4034	[protein]-(L-serine/L-threonine)
REACTION4034	phosphate
glycogen	REACTION4035
phosphate	REACTION4035
REACTION4035	alpha-D-glucose 1-phosphate
REACTION4035	maltotetraose
[histone]-L-lysine	REACTION4036
acetyl-CoA	REACTION4036
REACTION4036	[histone]-N6-acetyl-L-lysine
REACTION4036	coenzyme A
oxaloacetate	REACTION4037
GTP	REACTION4037
REACTION4037	phosphoenolpyruvate
REACTION4037	GDP
oxaloacetate[mitochondrial lumen]	REACTION4038
GTP[mitochondrial lumen]	REACTION4038
REACTION4038	phosphoenolpyruvate[mitochondrial lumen]
REACTION4038	GDP[mitochondrial lumen]
ATP	REACTION4039
protein	REACTION4039
REACTION4039	ADP
REACTION4039	phosphoprotein
ADP-D-ribosyl(n)-acceptor	REACTION4040
NAD+	REACTION4040
REACTION4040	ADP-D-ribosyl(n+1)-acceptor
REACTION4040	nicotinamide
nucleoside cyclic 3',5'-monophosphate	REACTION4041
REACTION4041	nucleoside 5'-monophosphate
24,25-dihydrolanosterol	REACTION4042
NADPH	REACTION4042
REACTION4042	4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol
REACTION4042	NADP+
dolichyl diphosphooligosaccharide	REACTION4043
[protein]-L-asparagine	REACTION4043
REACTION4043	glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine
REACTION4043	dolichyl diphosphate
aldehyde	REACTION4044
FAD	REACTION4044
REACTION4044	carboxylate
REACTION4044	FADH2
(R)-pantothenate	REACTION4045
ATP	REACTION4045
REACTION4045	(R)-4'-phosphopantothenate
REACTION4045	ADP
D-myo-inositol (1,3,4,5)-tetrakisphosphate	REACTION4046
REACTION4046	D-myo-inositol (1,3,4)-trisphosphate
REACTION4046	phosphate
nucleoside triphosphate	REACTION4047
RNA(n)	REACTION4047
REACTION4047	RNA(n+1)
REACTION4047	diphosphate
beta-D-glucose 6-phosphate	REACTION4048
REACTION4048	beta-D-fructofuranose 6-phosphate
carboxylate	REACTION4049
ATP	REACTION4049
coenzyme A	REACTION4049
REACTION4049	acyl-CoA
REACTION4049	AMP
REACTION4049	diphosphate
[procollagen]-L-proline	REACTION4050
2-oxoglutarate	REACTION4050
REACTION4050	[procollagen] trans 4-hyroxy-L-proline
REACTION4050	succinate
CMP-N-acetyl-beta-neuraminate	REACTION4051
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R	REACTION4051
REACTION4051	alpha-N-acetylneuraminyl-2,6-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R
REACTION4051	CMP
nucleoside triphosphate	REACTION4052
REACTION4052	nucleoside diphosphate
REACTION4052	phosphate
(3R)-3-hydroxy cis delta7-tetradecenoyl-[acp]	REACTION4053
REACTION4053	trans-delta3-cis-delta7-tetradecenoyl-[acp]
NAD(P)H	REACTION4054
REACTION4054	NAD(P)+
ATP	REACTION4055
[protein]-L-tyrosine	REACTION4055
REACTION4055	ADP
REACTION4055	[protein]-L-tyrosine phosphate
purine ribonucleoside	REACTION4056
phosphate	REACTION4056
REACTION4056	alpha-D-ribose-1-phosphate
REACTION4056	purine base
[procollagen]-L-proline	REACTION4057
2-oxoglutarate	REACTION4057
REACTION4057	[procollagen] trans 4-hyroxy-L-proline
REACTION4057	succinate
5alpha-cholesta-7,24-dien-3beta-ol	REACTION4058
NAD(P)H	REACTION4058
REACTION4058	7-dehydrodesmosterol
REACTION4058	NAD(P)+
3,3',5'-triiodo-L-thyronine	REACTION4059
unknown reduced electron acceptor	REACTION4059
REACTION4059	3,3'-diiodothyronine
REACTION4059	iodide
REACTION4059	unknown oxidized electron acceptor
N5-methyl-tetrahydrofolate	REACTION4060
NAD+	REACTION4060
REACTION4060	5,10-methylene-tetrahydrofolate
REACTION4060	NADH
1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate	REACTION4061
REACTION4061	D-myo-inositol 1,3,4,5,6-pentakisphosphate
REACTION4061	phosphate
sucrose	REACTION4062
REACTION4062	beta-D-fructofuranose
REACTION4062	alpha-D-glucose
phosphorylase b	REACTION4063
ATP	REACTION4063
REACTION4063	phosphorylase a
REACTION4063	ADP
3beta-hydroxy-delta5-steroid	REACTION4064
NAD+	REACTION4064
REACTION4064	3-oxo-delta5-steroid
REACTION4064	NADH
type-1 transmembrane domains	REACTION4065
REACTION4065	cleaved type-1 transmembrane domains
polypeptide	REACTION4066
REACTION4066	peptide
15S-hydroxypentaenoate	REACTION4067
REACTION4067	lipoxin A4
L-kynurenine	REACTION4068
2-oxoglutarate	REACTION4068
REACTION4068	L-glutamate
REACTION4068	4-(2-aminophenyl)-2,4-dioxobutanoate
linoleate	REACTION4069
ATP	REACTION4069
coenzyme A	REACTION4069
REACTION4069	linoleoyl-CoA
REACTION4069	AMP
REACTION4069	diphosphate
[protein]-(L-serine/L-threonine)	REACTION4070
ATP	REACTION4070
REACTION4070	[protein] (L-serine/L-threonine) phosphate
REACTION4070	ADP
acetaldehyde	REACTION4071
coenzyme A	REACTION4071
NAD+	REACTION4071
REACTION4071	acetyl-CoA
REACTION4071	NADH
ammonium	REACTION4072
ATP	REACTION4072
REACTION4072	carbamoyl-phosphate
REACTION4072	ADP
REACTION4072	phosphate
[protein] (L-serine/L-threonine) phosphate	REACTION4073
REACTION4073	[protein]-(L-serine/L-threonine)
REACTION4073	phosphate
peptide	REACTION4074
REACTION4074	peptide
5-hydroxytryptophol	REACTION4075
3'-phosphoadenylyl-sulfate	REACTION4075
REACTION4075	adenosine 3',5'-bisphosphate
REACTION4075	5-hydroxytryptophol sulfate
protein	REACTION4076
REACTION4076	peptide
REACTION4076	peptide
1D-myo-inositol 4-monophosphate	REACTION4077
REACTION4077	myo-inositol
REACTION4077	phosphate
[dermatan]-alpha-L-iduronate	REACTION4078
REACTION4078	alpha-L-iduronate
REACTION4078	[dermatan]-N-acetyl-D-galactosamine
m7G(5')pppAm	REACTION4079
S-adenosyl-L-methionine	REACTION4079
REACTION4079	S-adenosyl-L-homocysteine
REACTION4079	m7G(5')pppm6Am
deoxyribonucleoside triphosphate	REACTION4080
(deoxynucleotides)(n)	REACTION4080
REACTION4080	(deoxynucleotides)(n+1)
REACTION4080	diphosphate
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA	REACTION4081
REACTION4081	(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate
REACTION4081	coenzyme A
sphinganine	REACTION4082
ATP	REACTION4082
REACTION4082	sphinganine 1-phosphate
REACTION4082	ADP
[protein]-(L-serine/L-threonine)	REACTION4083
ATP	REACTION4083
REACTION4083	[protein] (L-serine/L-threonine) phosphate
REACTION4083	ADP
DNAn	REACTION4084
REACTION4084	nucleoside 5'-monophosphate
[histone]-N6-acetyl-L-lysine	REACTION4085
REACTION4085	[histone]-L-lysine
REACTION4085	acetate
(1,3-alpha-D-glucosyl)(n)	REACTION4086
REACTION4086	(1,3-alpha-D-glucosyl)(n-1)
REACTION4086	alpha-D-glucose
tRNA precursor with a 5' extension and a short 3' extension	REACTION4087
REACTION4087	tRNA precursor with a short 3' extension
REACTION4087	single-stranded RNA
ATP	REACTION4088
protein	REACTION4088
REACTION4088	ADP
REACTION4088	phosphoprotein
oligonucleotide	REACTION4089
REACTION4089	oligonucleotide
REACTION4089	nucleoside 5'-monophosphate
UDP-N-acetyl-alpha-D-galactosamine	REACTION4090
[glycoprotein]-(L-serine/L-threonine)	REACTION4090
REACTION4090	N-acetyl-alpha-D-galactosalaminyl-[glycoprotein]
REACTION4090	UDP
xanthosine	REACTION4091
phosphate	REACTION4091
REACTION4091	alpha-D-ribose-1-phosphate
REACTION4091	xanthine
NADH[mitochondrial lumen]	REACTION4092
ubiquinone[mitochondrial inner membrane]	REACTION4092
REACTION4092	NAD+[mitochondrial lumen]
REACTION4092	ubiquinol[mitochondrial inner membrane]
NADH	REACTION4093
unknown oxidized electron acceptor	REACTION4093
REACTION4093	NAD+
REACTION4093	unknown reduced electron acceptor
ATP	REACTION4094
beta-adrenergic receptor	REACTION4094
REACTION4094	ADP
REACTION4094	phosphorylated beta-adrenergic receptor
[protein]-L-tyrosine phosphate	REACTION4095
REACTION4095	[protein]-L-tyrosine
REACTION4095	phosphate
triglyceride	REACTION4096
REACTION4096	1,2-diglyceride
REACTION4096	fatty acid
(S)-3-hydroxy-isobutanoyl-CoA	REACTION4097
REACTION4097	methylacrylyl-CoA
UDP-N-acetyl-alpha-D-glucosamine	REACTION4098
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R	REACTION4098
REACTION4098	N-acetyl-beta-D-glucosaminyl-(1->6)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R
REACTION4098	UDP
long-chain acyl-CoA	REACTION4099
1-acyl-sn-glycerol 3-phosphate	REACTION4099
REACTION4099	1,2-diacyl-sn-glycerol 3-phosphate
REACTION4099	coenzyme A
phosphatidylcholine	REACTION4100
REACTION4100	2-acyl 1-lyso-phosphatidylcholine
REACTION4100	fatty acid
long-chain acyl-CoA	REACTION4101
1-acyl-sn-glycerol 3-phosphate	REACTION4101
REACTION4101	1,2-diacyl-sn-glycerol 3-phosphate
REACTION4101	coenzyme A
ATP	REACTION4102
[protein]-L-tyrosine	REACTION4102
REACTION4102	ADP
REACTION4102	[protein]-L-tyrosine phosphate
tRNAser	REACTION4103
L-serine	REACTION4103
ATP	REACTION4103
REACTION4103	L-seryl-[tRNAser]
REACTION4103	AMP
REACTION4103	diphosphate
tRNA precursor with a 5' extension and a long 3' trailer	REACTION4104
REACTION4104	tRNA precursor with a 5' extension and a short 3' extension
REACTION4104	nucleoside 5'-monophosphate
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate	REACTION4105
REACTION4105	1-phosphatidyl-1D-myo-inositol 3-phosphate
REACTION4105	phosphate
non-glucuronosylated glucuronoside acceptor	REACTION4106
UDP-alpha-D-glucuronate	REACTION4106
REACTION4106	glucuronosylated glucuronoside acceptor
REACTION4106	UDP
[protein]-L-tyrosine phosphate	REACTION4107
REACTION4107	[protein]-L-tyrosine
REACTION4107	phosphate
[protein]-(L-serine/L-threonine)	REACTION4108
ATP	REACTION4108
REACTION4108	[protein] (L-serine/L-threonine) phosphate
REACTION4108	ADP
[protein] (L-serine/L-threonine) phosphate	REACTION4109
REACTION4109	[protein]-(L-serine/L-threonine)
REACTION4109	phosphate
NADH	REACTION4110
unknown oxidized electron acceptor	REACTION4110
REACTION4110	NAD+
REACTION4110	unknown reduced electron acceptor
L-glutamine	REACTION4111
REACTION4111	L-glutamate
REACTION4111	ammonium
[protein]-(L-serine/L-threonine)	REACTION4112
ATP	REACTION4112
REACTION4112	[protein] (L-serine/L-threonine) phosphate
REACTION4112	ADP
ADP-D-ribose	REACTION4113
REACTION4113	AMP
REACTION4113	D-ribofuranose 5-phosphate
polypeptide	REACTION4114
REACTION4114	polypeptide
oleate	REACTION4115
ATP	REACTION4115
coenzyme A	REACTION4115
REACTION4115	oleoyl-CoA
REACTION4115	AMP
REACTION4115	diphosphate
[protein]-(L-serine/L-threonine)	REACTION4116
ATP	REACTION4116
REACTION4116	[protein] (L-serine/L-threonine) phosphate
REACTION4116	ADP
ATP	REACTION4117
REACTION4117	ADP
REACTION4117	phosphate
glutathione	REACTION4118
RX	REACTION4118
REACTION4118	glutathione-toxin conjugate
REACTION4118	HX
3,4-dihydroxyphenylglycol	REACTION4119
NAD+	REACTION4119
REACTION4119	3,4-dihydroxyphenylglycolaldehyde
REACTION4119	NADH
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	REACTION4120
ATP	REACTION4120
REACTION4120	1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
REACTION4120	ADP
[protein]-(L-serine/L-threonine)	REACTION4121
ATP	REACTION4121
REACTION4121	[protein] (L-serine/L-threonine) phosphate
REACTION4121	ADP
phosphatidylcholine	REACTION4122
REACTION4122	1-acyl 2-lyso-phosphatidylcholine
REACTION4122	fatty acid
acyl-[acyl-carrier protein]	REACTION4123
malonyl-[acp]	REACTION4123
REACTION4123	3-oxoacyl-[acp]
REACTION4123	holo-[acyl-carrier protein]
protein	REACTION4124
REACTION4124	peptide
REACTION4124	peptide
tRNAthr	REACTION4125
L-threonine	REACTION4125
ATP	REACTION4125
REACTION4125	L-threonyl-[tRNAthr]
REACTION4125	AMP
REACTION4125	diphosphate
D-myo-inositol (1,4,5)-trisphosphate	REACTION4126
ATP	REACTION4126
REACTION4126	D-myo-inositol (1,3,4,5)-tetrakisphosphate
REACTION4126	ADP
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	REACTION4127
ATP	REACTION4127
REACTION4127	1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
REACTION4127	ADP
protein	REACTION4128
REACTION4128	peptide
REACTION4128	peptide
vernolate	REACTION4129
REACTION4129	(9Z)-12,13-dihydroxyoctadeca-9-enoate
reduced c-type cytochrome	REACTION4130
REACTION4130	oxidized c-type cytochrome
Fe(II)-siderophore	REACTION4131
NAD+	REACTION4131
REACTION4131	Fe(III)-siderophore
REACTION4131	NADH
glutathione	REACTION4132
RX	REACTION4132
REACTION4132	glutathione-toxin conjugate
REACTION4132	HX
all-trans-retinyl palmitate	REACTION4133
REACTION4133	retinol
REACTION4133	palmitate
5',5'''-diadenosine hexaphosphate	REACTION4134
REACTION4134	adenosine pentaphosphate
REACTION4134	AMP
[protein] N-terminal L-glutamate	REACTION4135
REACTION4135	L-glutamate
REACTION4135	protein
[protein]-(L-serine/L-threonine)	REACTION4136
ATP	REACTION4136
REACTION4136	[protein] (L-serine/L-threonine) phosphate
REACTION4136	ADP
D-myo-inositol 1,3,4,5,6-pentakisphosphate	REACTION4137
ATP	REACTION4137
REACTION4137	diphospho-1D-myo-inositol tetrakisphosphate
REACTION4137	ADP
D-myo-inositol (1,4,5)-trisphosphate	REACTION4138
REACTION4138	D-myo-inositol (1,4)-bisphosphate
REACTION4138	phosphate
2'-deoxyribonucleoside 5'-diphosphate	REACTION4139
oxidized thioredoxin	REACTION4139
2'-deoxyribonucleoside 5'-diphosphate	REACTION4139
REACTION4139	ribonucleoside diphosphate
REACTION4139	reduced thioredoxin
REACTION4139	ribonucleoside diphosphate
ceramide	REACTION4140
phosphatidylcholine	REACTION4140
REACTION4140	sphingomyelin
REACTION4140	1,2-diacyl-sn-glycerol
(S)-lactate	REACTION4141
NAD+	REACTION4141
REACTION4141	pyruvate
REACTION4141	NADH
GMP	REACTION4142
ATP	REACTION4142
REACTION4142	GDP
REACTION4142	ADP
uridine44 in tRNAser	REACTION4143
S-adenosyl-L-methionine	REACTION4143
REACTION4143	2'-O-methyluridine44  in tRNAser
REACTION4143	S-adenosyl-L-homocysteine
oligonucleotide	REACTION4144
REACTION4144	oligonucleotide
REACTION4144	nucleoside 5'-monophosphate
beta-D-fructose 2,6-bisphosphate	REACTION4145
REACTION4145	beta-D-fructofuranose 6-phosphate
REACTION4145	phosphate
propanoyl-CoA	REACTION4146
4,8,12-trimethyltridecanoyl-CoA	REACTION4146
REACTION4146	3-oxopristanoyl-CoA
REACTION4146	coenzyme A
(S)-propane-1,2-diol	REACTION4147
NAD+	REACTION4147
REACTION4147	acetol
REACTION4147	NADH
1,5-anhydro-D-mannitol	REACTION4148
reduced flavoprotein	REACTION4148
REACTION4148	D-mannose
REACTION4148	oxidized flavoprotein
1D-myo-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate	REACTION4149
ATP	REACTION4149
REACTION4149	3,5-bisdiphosphoinositol-1D-myo-inositol 2,3,4,6-tetrakisphosphate
REACTION4149	ADP
D-erythrose 4-phosphate	REACTION4150
D-xylulose 5-phosphate	REACTION4150
REACTION4150	beta-D-fructofuranose 6-phosphate
REACTION4150	D-glyceraldehyde 3-phosphate
phosphatidylcholine	REACTION4151
REACTION4151	1-acyl 2-lyso-phosphatidylcholine
REACTION4151	fatty acid
ATP	REACTION4152
[a DNA-directed RNA-polymerase]	REACTION4152
REACTION4152	ADP
REACTION4152	phospho-[DNA-directed RNA-polymerase]
peptidylproline (omega = 180)	REACTION4153
REACTION4153	peptidylproline (omega = 0)
[protein]-L-tyrosine phosphate	REACTION4154
REACTION4154	[protein]-L-tyrosine
REACTION4154	phosphate
peptidylproline (omega = 180)	REACTION4155
REACTION4155	peptidylproline (omega = 0)
[protein]-L-tyrosine phosphate	REACTION4156
REACTION4156	[protein]-L-tyrosine
REACTION4156	phosphate
[protein]-(L-serine/L-threonine)	REACTION4157
ATP	REACTION4157
REACTION4157	[protein] (L-serine/L-threonine) phosphate
REACTION4157	ADP
S-adenosyl-L-methionine	REACTION4158
REACTION4158	S-adenosyl-L-homocysteine
peptidylproline (omega = 180)	REACTION4159
REACTION4159	peptidylproline (omega = 0)
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oate	REACTION4160
ATP	REACTION4160
coenzyme A	REACTION4160
REACTION4160	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA
REACTION4160	AMP
REACTION4160	diphosphate
ubiquinone	REACTION4161
e-	REACTION4161
REACTION4161	ubiquinol
2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate	REACTION4162
REACTION4162	alpha-D-mannose 6-phosphate
REACTION4162	D-glycerate
trans-3'-hydroxycotinine	REACTION4163
UDP-alpha-D-glucuronate	REACTION4163
REACTION4163	trans-3-hydroxycotinine-glucuronide
REACTION4163	UDP
GMP	REACTION4164
diphosphate	REACTION4164
REACTION4164	guanine
REACTION4164	5-phospho-alpha-D-ribose 1-diphosphate
beta-D-glucuronoside	REACTION4165
REACTION4165	D-glucopyranuronate
REACTION4165	alcohol
[protein]-(L-serine/L-threonine)	REACTION4166
ATP	REACTION4166
REACTION4166	[protein] (L-serine/L-threonine) phosphate
REACTION4166	ADP
D-myo-inositol (1,3,4,5)-tetrakisphosphate	REACTION4167
REACTION4167	D-myo-inositol (1,3,4)-trisphosphate
REACTION4167	phosphate
(S)-lactate	REACTION4168
NAD+	REACTION4168
REACTION4168	pyruvate
REACTION4168	NADH
phosphatidylcholine	REACTION4169
REACTION4169	1-acyl 2-lyso-phosphatidylcholine
REACTION4169	fatty acid
peptide	REACTION4170
REACTION4170	standard alpha amino acid
REACTION4170	peptide
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION4171
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION4171
REACTION4171	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION4171	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
dADP	REACTION4172
ATP	REACTION4172
REACTION4172	dATP
REACTION4172	ADP
DNA containing an apurinic/apyrimidinic site	REACTION4173
REACTION4173	5'-phosphopolynucleotide
REACTION4173	3'-terminal unsaturated sugar
ATP	REACTION4174
[protein]-L-tyrosine	REACTION4174
REACTION4174	ADP
REACTION4174	[protein]-L-tyrosine phosphate
ATP	REACTION4175
tau protein	REACTION4175
REACTION4175	ADP
REACTION4175	O-phospho-tau protein
[protein] N6,N6-dimethyl-L-lysine	REACTION4176
2-oxoglutarate	REACTION4176
REACTION4176	[protein] N6-methyl-L-lysine
REACTION4176	succinate
REACTION4176	formaldehyde
acetaldehyde	REACTION4177
coenzyme A	REACTION4177
NAD+	REACTION4177
